EPGChannelID,ChannelName,GuideChannelNum,StreamURL,NumCaptionTracks,Error
2074,Destination America,1210,https://str2atl270.mdu1.tv/DESTINATION_AMERICA-1210/index.m3u8,3,
2035,American Heroes Channel,1212,https://str2atl270.mdu1.tv/AMERICAN_HERO-1212/index.m3u8,3,
1971,FYI USA - Eastern,1215,https://str2atl270.mdu1.tv/FYI-1215/index.m3u8,3,
1966,Independent Film Channel US,1756,https://str2atl270.mdu1.tv/IFC-1756/index.m3u8,3,
1963,NASA Public Educational Channel,951,https://str2atl270.mdu1.tv/NASA_Public/index.m3u8,1,
1960,Science,1127,https://str2atl270.mdu1.tv/SCIENCE-1127/index.m3u8,3,
1959,Starz Encore Westerns - Eastern,1819,https://str2atl270.mdu1.tv/ENCRWESTRN-1819/index.m3u8,3,
1958,Starz Encore Suspense - Eastern,1820,https://str2atl270.mdu1.tv/ENCORE_SUSPENCE-1820/index.m3u8,3,
1957,Starz In Black - Eastern,1825,https://str2atl270.mdu1.tv/STARZ_BLACK-1825/index.m3u8,3,
1952,FXX USA - Eastern,1503,https://str2atl270.mdu1.tv/FXX-1503/index.m3u8,3,
1856,Bloomberg TV USA,1577,https://str2atl270.mdu1.tv/BLOOMBERG-1577/index.m3u8,3,
1848,SundanceTV USA - East,1755,https://str2atl270.mdu1.tv/SUNDANCE-1755/index.m3u8,3,
1763,"PBS (WPBA) Atlanta, GA",30,https://str2atl270.mdu1.tv/WPBA-30/index.m3u8,3,
1737,"CBS (WGCL) Atlanta, GA",46,https://str2atl270.mdu1.tv/WGCL-46/index.m3u8,3,
1715,"CW (WUPA) Atlanta, GA",69,https://str2atl270.mdu1.tv/WUPA-69/index.m3u8,3,
1709,"NBC (WXIA) Atlanta, GA",11,https://str2atl270.mdu1.tv/WXIA-11/index.m3u8,3,
1615,Showtime Extreme - Eastern,1840,https://str2atl270.mdu1.tv/SHOW-EXTREME-1840/index.m3u8,3,
1527,ESPN News,1603,https://str2atl270.mdu1.tv/ESPN-NEWS-1603/index.m3u8,3,
1526,The Weather Channel,1142,https://str2atl270.mdu1.tv/TWC-1142/index.m3u8,3,
1521,Telemundo  - Eastern Feed,519,https://str2atl270.mdu1.tv/TELEMUNDO-519/index.m3u8,2,
1486,FUSE TV - Eastern feed,1501,https://str2atl270.mdu1.tv/FUSE-1501/index.m3u8,3,
1461,"PBS (WFSU) Tallahassee, FL",11,https://local.tal.mdu1.net/WFSU.3/index.m3u8,1,
1460,"FOX (WAGA) Atlanta, GA",5,https://str2atl270.mdu1.tv/WAGA-5/index.m3u8,-1, http error 404 not found
1429,"FOX (WHBQ) Memphis, TN",13,https://local.memphis.mdu1.net/WHBQ-FOX/index.m3u8,0,
1428,"CBS (WREG) Memphis, TN",3,https://local.memphis.mdu1.net/WREG-CBS/index.m3u8,-1, http error 404 not found
1427,"CW (WLMT) Memphis, TN",30,https://local.memphis.mdu1.net/WLMT-CW/index.m3u8,-1, http error 404 not found
1426,"PBS (WKNO) Memphis, TN",10,https://local.memphis.mdu1.net/WKNO-PBS/index.m3u8,-1, http error 404 not found
1423,"ABC (WATN) Memphis, TN",24,https://local.memphis.mdu1.net/WATN/index.m3u8,1,
1387,Showtime 2 - Eastern,1837,https://str2atl270.mdu1.tv/SHOWTIME_2-1837/index.m3u8,3,
1353,"NBC (WMC) Memphis, TN",5,https://local.memphis.mdu1.net/WMC-NBC/index.m3u8,0,
1352,Bally Sports Southeast,1612,https://str2atl270.mdu1.tv/FOX_SPORTS_SOUTH_EAST-1612/index.m3u8,3,
1349,"FOX (WTWC-TV2) Tallahassee, FL",49,https://local.tal.mdu1.net/WTWC.4/index.m3u8,0,
1347,"NBC (WTWC) Tallahassee, FL",40,https://local.tal.mdu1.net/WTWC.3/index.m3u8,-1, http error 404 not found
1346,"ABC (WTXL) Tallahassee, FL",27,https://local.tal.mdu1.net/WTXL.3/index.m3u8,0,
1343,"CBS (WCTV) Tallahassee, FL",6,https://local.tal.mdu1.net/WCTV.1/index.m3u8,-1, http error 404 not found
1342,"ABC (WSB) Atlanta, GA",2,https://str2atl270.mdu1.tv/WSBTV-2/index.m3u8,3,
1333,Lifetime Movies - East,1752,https://str2atl270.mdu1.tv/LTM-1752/index.m3u8,3,
1308,FX Movie Channel,1758,https://str2atl270.mdu1.tv/FXM-1758/index.m3u8,3,
1274,ION  - Eastern Feed,1202,https://str2atl270.mdu1.tv/ION-1202/index.m3u8,3,
1273,Discovery Life Channel,1209,https://str2atl270.mdu1.tv/DISCOVERY_LIFE-1209/index.m3u8,3,
1194,Starz Kids & Family - Eastern,1826,https://str2atl270.mdu1.tv/STARZ_KIDS-1826/index.m3u8,3,
1159,Oprah Winfrey Network USA Eastern,1211,https://str2atl270.mdu1.tv/OWN-1211/index.m3u8,3,
1119,TBN  - Trinity Broadcasting Network - East,1552,https://str2atl270.mdu1.tv/TBN-1552/index.m3u8,3,
1107,Bally Sports South,1611,https://str2atl270.mdu1.tv/FOX_SPORTS_SOUTH-1611/index.m3u8,3,
1083,Fox News,1578,https://str2atl270.mdu1.tv/FOX_NEWS-1578/index.m3u8,3,
1082,INSP,561,https://str2atl270.mdu1.tv/INSPIRATION-561/index.m3u8,2,
1054,Food Network USA - Eastern Feed,1404,https://str2atl270.mdu1.tv/FOOD_NETWORK-1404/index.m3u8,3,
1053,Disney XD USA - Eastern Feed,1303,https://str2atl270.mdu1.tv/DISNEY_XD-1303/index.m3u8,3,
1052,Hallmark - Eastern Feed,1748,https://str2atl270.mdu1.tv/HALLMARK-1748/index.m3u8,3,
1051,GAC Family - East,1407,https://str2atl270.mdu1.tv/GAC-1407/index.m3u8,3,
1050,C-SPAN 2,1132,https://str2atl270.mdu1.tv/CSPAN2-1132/index.m3u8,3,
1015,New England Sports Network,1628,https://str2atl270.mdu1.tv/NESN-1628/index.m3u8,3,
1011,Freeform - East Feed,1207,https://str2atl270.mdu1.tv/FREEFORM-1207/index.m3u8,3,
668,Fox Sports 1,1613,https://str2atl270.mdu1.tv/FOX_SPORTS_1-1613/index.m3u8,3,
667,Starz Encore - Eastern,1815,https://str2atl270.mdu1.tv/ENCORE-1815/index.m3u8,3,
666,TMC (US) - Eastern Feed,1836,https://str2atl270.mdu1.tv/TMC-1836/index.m3u8,3,
